distanceNew,timeNew
18.68167331398821,0.01
18.68167323985651,0.02
18.68167306642417,0.03
18.681673746867997,0.04
18.681673376730387,0.05
18.6816738659045,0.06
18.680686244058208,0.07
18.680640345746625,0.08
18.679680888286825,0.09
18.678786280859427,0.1
18.6780412843959,0.11
18.677446260252925,0.12
18.676964282706642,0.13
18.67647405917772,0.14
18.67603198303991,0.15
18.675622317292056,0.16
18.675231134894766,0.17
18.674845596021925,0.18
18.674459670136173,0.19
18.674069041322735,0.2
18.673673593965187,0.21
18.6732712393215,0.22
18.672864931524337,0.23
18.672450624166206,0.24
18.6720280105443,0.25
18.67159757084113,0.26
18.671160469105242,0.27
18.670724826063033,0.28
18.670314606548914,0.29
18.66981515929336,0.3
18.66907709452591,0.31
18.6679847791126,0.32
18.6664752985637,0.33
18.664533698062073,0.34
18.662163435875463,0.35000000000000003
18.659376869136693,0.36
18.656184756789173,0.37
18.652595243130076,0.38
18.648613804397616,0.39
18.644241253915876,0.4
18.63947442459963,0.41000000000000003
18.63435786066744,0.42
18.62885048205256,0.43
18.622933815856857,0.44
18.616603005556986,0.45
18.609857797666344,0.46
18.602702525182785,0.47000000000000003
18.59513739111609,0.48
18.587164089839504,0.49
18.578783839522178,0.5
18.569996428660883,0.51
18.56080312943323,0.52
18.55120289573045,0.53
18.54119624652516,0.54
18.530782434192815,0.55
18.51996330207079,0.56
18.508737611343182,0.5700000000000001
18.497107738062237,0.58
18.48507422407885,0.59
18.472635836949433,0.6
18.459795181455416,0.61
18.446551466771982,0.62
18.43290713901788,0.63
18.418862748927854,0.64
18.404419776997717,0.65
18.389577638378853,0.66
18.374336673998684,0.67
18.35869921051417,0.68
18.342664833244203,0.6900000000000001
18.32625628533294,0.7000000000000001
18.30958990941547,0.71
18.292783165154013,0.72
18.27591977913576,0.73
18.259046934418173,0.74
18.242186318665507,0.75
18.225343250342213,0.76
18.20851425749434,0.77
18.1916947536974,0.78
18.174879420799623,0.79
18.15806657845946,0.8
18.141255761389033,0.81
18.124447264359773,0.8200000000000001
18.107642599858416,0.8300000000000001
18.090843830816706,0.84
18.074053994067576,0.85
18.057274874176596,0.86
18.040506851301462,0.87
18.02375081611052,0.88
18.007008180233843,0.89
17.9902771479417,0.9
17.973558494317945,0.91
17.956851791963903,0.92
17.94015782047547,0.93
17.923474781462076,0.9400000000000001
17.90680495991129,0.9500000000000001
17.89014620572558,0.96
17.873498043713642,0.97
17.856857997181457,0.98
17.840227361452037,0.99
17.823601630054473,1.0
17.806980793972738,1.01
17.790363423489552,1.02
17.77374831935685,1.03
17.757134900097057,1.04
17.740522644661358,1.05
17.723910832806116,1.06
17.707294712382218,1.07
17.690676758701795,1.08
17.674054645672797,1.09
17.657430894349428,1.1
17.640804467799335,1.11
17.62417662173068,1.12
17.60754823256029,1.1300000000000001
17.590914514987265,1.1400000000000001
17.57427840950712,1.1500000000000001
17.5576366483137,1.16
17.540990766627605,1.17
17.524338841681523,1.18
17.507682846643032,1.19
17.491024756194427,1.2
17.474360788763274,1.21
17.45769471443487,1.22
17.441024617331788,1.23
17.4243524821767,1.24
17.4076765520896,1.25
17.390999025122916,1.26
17.374321809122286,1.27
17.357641445103514,1.28
17.34096030930217,1.29
17.324278879494805,1.3
17.307597565202286,1.31
17.290914858769234,1.32
17.274234988971237,1.33
17.25755461534353,1.34
17.240877825428203,1.35
17.224198474183904,1.36
17.20752207563422,1.37
17.19084493516193,1.3800000000000001
17.174167389260823,1.3900000000000001
17.157491739836807,1.4000000000000001
17.140816444702644,1.41
17.124141776860647,1.42
17.10746791796547,1.43
17.09079498272691,1.44
17.074123019949518,1.45
17.057452048449377,1.46
17.040779687442217,1.47
17.024111396351724,1.48
17.00744365087339,1.49
16.990780160504674,1.5
16.974116907415137,1.51
16.957457522103237,1.52
16.94079612428722,1.53
16.924136397643537,1.54
16.907476317734442,1.55
16.89081769129818,1.56
16.874157323752407,1.57
16.857498318766883,1.58
16.840838336114455,1.59
16.824177604389277,1.6
16.807518333534702,1.61
16.790856912894917,1.62
16.774195253590165,1.6300000000000001
16.757533290916292,1.6400000000000001
16.740869022740434,1.6500000000000001
16.724206175024552,1.6600000000000001
16.707538942000543,1.67
16.69087297099467,1.68
16.674204393838927,1.69
16.657535074453907,1.7
16.64086498929306,1.71
16.62419383054644,1.72
16.607522763385848,1.73
16.590853828267072,1.74
16.57418496387223,1.75
16.557516023656447,1.76
16.54084886445035,1.77
16.524181601612092,1.78
16.50751423306939,1.79
16.49084666693594,1.8
16.474179002269537,1.81
16.457513309997417,1.82
16.440845933840205,1.83
16.424178942496837,1.84
16.407514377723192,1.85
16.39085052652469,1.86
16.37418573153124,1.87
16.35752326424764,1.8800000000000001
16.340860491722047,1.8900000000000001
16.32419700296086,1.9000000000000001
16.3075327479675,1.9100000000000001
16.290867920526658,1.92
16.274202806345627,1.93
16.25753767794379,1.94
16.240870838647794,1.95
16.22420624260569,1.96
16.207542064409708,1.97
16.190876440579615,1.98
16.174211306029004,1.99
16.157546674179997,2.0
16.140882572408795,2.0100000000000002
16.12421947234586,2.02
16.107553965918168,2.0300000000000002
16.090891551958823,2.04
16.074226668199124,2.05
16.057563287074466,2.06
16.0408995655731,2.07
16.0242354736709,2.08
16.00757094851434,2.09
15.990903995534449,2.1
15.974236455742542,2.11
15.957568265521687,2.12
15.940897451142407,2.13
15.924225976524717,2.14
15.90755200080855,2.15
15.890876914492724,2.16
15.874202862892263,2.17
15.857532024184426,2.18
15.84086415781719,2.19
15.82419708662179,2.2
15.807532536961247,2.21
